Hocus Pocus,Magic Hat,United States,Other Style,Light American Wheat Ale or Lager,Clean and crisp,Pasta
Grimbergen Blonde,Brouwerij Alken-Maes,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Widdershins Barleywine,Left Hand Brewing Company,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Lucifer,Brouwerij Liefmans,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Bitter,Ridgeway Brewing,United Kingdom,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Winter Warmer,Youngs & Company Brewery,England,British Ale,Old Ale,Hoppy and bitter,Chicken
Winter Welcome 2007-2008,Samuel Smith Old Brewery (Tadcaster),United Kingdom,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Oatmeal Stout,Samuel Smith Old Brewery (Tadcaster),United Kingdom,North American Ale,American-Style Stout,Dark and roasty,Vegetables
Espresso Porter,Empyrean Brewing Company,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Chocolate Stout,Fort Collins Brewery,United States,North American Ale,American-Style Stout,Dark and roasty,Vegetables
Hitachino Nest Real Ginger Brew,Kiuchi Shuzou Goushi Kaisya,Japan,British Ale,Classic English-Style Pale Ale,Varies,Cheese
JuJu Ginger,Left Hand Brewing Company,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
The Kidd Lager,Fort Collins Brewery,United States,German Lager,German-Style Schwarzbier,Dark and roasty,Vegetables
Imperial Stout,Samuel Smith Old Brewery (Tadcaster),United Kingdom,North American Ale,American-Style Stout,Dark and roasty,Vegetables
Oak-Aged Belgian Tripel,Upstream Brewing Company at Legacy,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Ultrablonde,Brasserie d'Ecaussinnes,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Wiesen Edel Weisse,Private Weissbierbrauerei G. Schneider & Sohn GmbH,Germany,German Ale,South German-Style Hefeweizen,Fruity and spicy,Seafood
Old Foghorn 2001,Anchor Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Framboise,Brasserie La Choulette,France,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Cow Palace Scotch Ale 1998,Egan Brewing,United States,British Ale,Scotch Ale,Hoppy and bitter,Chicken
Bigfoot 2001,Sierra Nevada Brewing Co.,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Bigfoot 2002,Sierra Nevada Brewing Co.,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Bigfoot 2003,Sierra Nevada Brewing Co.,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Bigfoot 2004,Sierra Nevada Brewing Co.,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Bigfoot 2005,Sierra Nevada Brewing Co.,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Winter Ale,Summit Brewing,United States,British Ale,Old Ale,Hoppy and bitter,Chicken
Full Moon Winter Ale,Molson Breweries of Canada,Canada,Belgian and French Ale,Other Belgian-Style Ales,Fruity and spicy,Seafood
Odell IPA,Odell Brewing,United States,North American Ale,American-Style India Pale Ale,Hoppy and bitter,Chicken
Ornery Amber Lager,Tommyknocker Brewery and Pub,United States,North American Lager,American-Style Lager,Clean and crisp,Pasta
Cutthroat Porter,Odell Brewing,United States,Irish Ale,Porter,Dark and roasty,Burgers
Maple Nut Brown Ale Ale,Tommyknocker Brewery and Pub,United States,North American Ale,American-Style Brown Ale,Malty and sweet,Vegetarian
Cocoa Porter,Tommyknocker Brewery and Pub,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Jenlain Blonde,Brasserie Duyck,France,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Blonde,Brasserie La Choulette,France,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Flemish Primitive Wild Ale,De Proef Brouwerij,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Witkap-Pater Tripel,Brouwerij Slaghmuylder,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Winter Cheer,Spanish Peaks Brewing,United States,North American Ale,American-Style Brown Ale,Malty and sweet,Vegetarian
Canaster Winter Scotch,Kleinbrouwerij de Glazen Toren,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Quelque Chose,Unibroue,Canada,Belgian and French Ale,Belgian-Style Fruit Lambic,Varies,Desserts
Kriek,Brouwerij De Ranke,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Darbyste,Brasserie de Blaugies,Belgium,Other Style,Light American Wheat Ale or Lager,Clean and crisp,Pasta
Maracaibo Especial,Jolly Pumpkin Artisan Ales,United States,North American Ale,American-Style Brown Ale,Malty and sweet,Vegetarian
Flemish Primitive Wild Ale (Pin Head),De Proef Brouwerij,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Calabaza Blanca,Jolly Pumpkin Artisan Ales,United States,Belgian and French Ale,Other Belgian-Style Ales,Fruity and spicy,Seafood
Porter,Nebraska Brewing Company,United States,Irish Ale,Porter,Dark and roasty,Burgers
Cardinal Pale Ale,Nebraska Brewing Company,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Zinnebir Xmas,Brasserie de la Senne,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Bridal Ale 2005,Pelican Pub & Brewery,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Zinnebir,Brasserie de la Senne,Belgium,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Saison Imperiale,De Proef Brouwerij,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
La Moneuse,Brasserie de Blaugies,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Red Sled Winter Ale,Nebraska Brewing Company,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Christmas Ale 2007,Anchor Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Equinox Dark Belgian Winter,Brasserie de la Senne,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Serafijn Christmas Angel,Microbrouwerij Achilles,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Obovoid Empirical Stout,Boulder Beer Company,United States,North American Ale,American-Style Imperial Stout,Dark and roasty,Vegetables
Furious Beer,Surly Brewing,United States,North American Ale,American-Style India Pale Ale,Hoppy and bitter,Chicken
Bender Beer,Surly Brewing,United States,North American Ale,American-Style Brown Ale,Malty and sweet,Vegetarian
Oak Aged Ebenezer,Upstream Brewing Company at Legacy,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Killer Penguin,Boulder Beer Company,United States,North American Ale,American-Style Barley Wine Ale,Varies,Desserts
Oatmeal Stout,Breckenridge Brewery,United States,North American Ale,American-Style Stout,Dark and roasty,Vegetables
Isolation Ale,Odell Brewing,United States,Other Style,Winter Warmer,Hoppy and bitter,Chicken
Festive Ale 2007,Empyrean Brewing Company,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Bourbon County Stout 2007,Goose Island Beer Company - Fulton Street,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Twelve Days,Hook Norton Brewery,United Kingdom,North American Ale,American-Style Stout,Dark and roasty,Vegetables
Seriously Bad Elf,Ridgeway Brewing,United Kingdom,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Big Shot Seasonal Ale,New Belgium Brewing,United States,Irish Ale,Porter,Dark and roasty,Burgers
Pils,Augustiner-Brau Munchen,Germany,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Harvest Ale 2007,Sierra Nevada Brewing Co.,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Nut Cracker Ale,Boulevard Brewing Company,United States,Other Style,Winter Warmer,Hoppy and bitter,Chicken
Goosinator Smoked Doppelbock 2007,Left Hand Brewing Company,United States,North American Lager,American-Style Lager,Clean and crisp,Pasta
Snow Bound Winter Ale,Left Hand Brewing Company,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Warrior IPA,Left Hand Brewing Company,United States,North American Ale,American-Style India Pale Ale,Hoppy and bitter,Chicken
Petrus Oud Bruin,Brouwerij Bavik - De Brabandere,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Petrus Gouden Tripel Ale,Brouwerij Bavik - De Brabandere,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Petrus Blond Ale,Brouwerij Bavik - De Brabandere,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Petrus Dubbel Bruin Ale,Brouwerij Bavik - De Brabandere,Belgium,Belgian and French Ale,Belgian-Style Dubbel,Fruity and sweet,Pork
Petrus Speciale,Brouwerij Bavik - De Brabandere,Belgium,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Weizengold Hefefein,Stieglbrauerei zu Salzburg GmbH,Austria,German Ale,South German-Style Hefeweizen,Fruity and spicy,Seafood
Never Summer Ale,Boulder Beer Company,United States,Other Style,Winter Warmer,Hoppy and bitter,Chicken
Modern Monks Belgian Blonde,Thunderhead Brewery #2,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Grand Cru,Thunderhead Brewery #2,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Jrger Weie Hell,Brauerei Grieskirchen AG,Austria,German Ale,South German-Style Hefeweizen,Fruity and spicy,Seafood
OSB Premium Ale,Tomos Watkin and Sons Ltd.,United Kingdom,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Morocco Ale,Daleside Brewery,United Kingdom,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Glacier Ale,Red Lodge Ales,United States,North American Ale,American-Style Amber/Red Ale,Hoppy and bitter,Chicken
Bent Nail IPA,Red Lodge Ales,United States,North American Ale,American-Style India Pale Ale,Hoppy and bitter,Chicken
Espresso Porter,Montana Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Harvest Ale,Montana Brewing,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Stillwater Rye,Montana Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Sharptail Pale Ale,Montana Brewing,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Fat Belly Amber,Montana Brewing,United States,North American Ale,American-Style Amber/Red Ale,Hoppy and bitter,Chicken
Whitetail Wheat,Montana Brewing,United States,North American Lager,American-Style Lager,Clean and crisp,Pasta
Sandbagger Gold,Montana Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Brunette Nut Brown Ale,Nebraska Brewing Company,United States,North American Ale,American-Style Brown Ale,Malty and sweet,Vegetarian
Irish Red,Nebraska Brewing Company,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Belgian Wit,Nebraska Brewing Company,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
EOS Hefeweizen,Nebraska Brewing Company,United States,German Ale,South German-Style Hefeweizen,Fruity and spicy,Seafood
India Pale Ale,Nebraska Brewing Company,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Winter Ale,St Peter's Brewery,United Kingdom,British Ale,Old Ale,Hoppy and bitter,Chicken
Pride & Joy Mild Ale,Three Floyds Brewing,United States,British Ale,English-Style Pale Mild Ale,Hoppy and bitter,Chicken
Robert the Bruce Scottish Ale,Three Floyds Brewing,United States,British Ale,Scotch Ale,Hoppy and bitter,Chicken
Lump of Coal Dark Holiday Stout,Ridgeway Brewing,United Kingdom,North American Ale,American-Style Stout,Dark and roasty,Vegetables
Warm Welcome Nut Browned Ale,Ridgeway Brewing,United Kingdom,North American Ale,American-Style Brown Ale,Malty and sweet,Vegetarian
Pendle Witches Brew,Moorhouse's Brewery (Burnley),United Kingdom,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Carnegie Stark-Porter,Carlsberg Sverige AB,Sweden,Irish Ale,Porter,Dark and roasty,Burgers
Harvest Ale 2002,JW Lees and Co (Brewers) Ltd.,United Kingdom,British Ale,Old Ale,Hoppy and bitter,Chicken
Woody Organic IPA,Roots Organic Brewing,United States,North American Ale,American-Style India Pale Ale,Hoppy and bitter,Chicken
Adriaan,Haarlems Biergenootschap Jopen,Netherlands,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Leute Bok Bier,Brouwerij Van Steenberge,Belgium,German Lager,Traditional German-Style Bock,Malty and roasty,Steak
La Folie Falling Rock,New Belgium Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Oak Aged IPA,Upstream Brewing Company at Legacy,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Tikka Gold,Brouwerij Van Steenberge,Belgium,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
La Divine Double Blond,Brasserie de Silly,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
La Divine Tripel Amber,Brasserie de Silly,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Ename Tripel,Brouwerij Roman,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Triple Dipsea Belgian,Marin Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Oktoberfest Weizen,Privatbrauerei Erdinger Weissbru,Germany,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Imperial Hefeweizen,Pyramid Alehouse Brewery and Restaurant - Berkeley,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Triple Exultation Old Ale,Eel River Brewing,United States,British Ale,Old Ale,Hoppy and bitter,Chicken
Organic Gingerbread Ale,Bison Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Falcon Pale Ale,Rock Bottom Restaurant & Brewery - Denver,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Buzzsaw Brown,Deschutes Brewery,United States,North American Ale,American-Style Brown Ale,Malty and sweet,Vegetarian
Eisenbahn South American Pale Ale (S.A.P.A.),Cervejaria Sudbrack,Brazil,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Geist Bock,Golden Valley Brewery and Pub,United States,German Lager,Traditional German-Style Bock,Malty and roasty,Steak
Troll Porter,Hale's Ales #3,United States,Irish Ale,Porter,Dark and roasty,Burgers
Dark Ale,Coopers Brewery,Australia,British Ale,English-Style Pale Mild Ale,Hoppy and bitter,Chicken
Cinder Cone Red,Deschutes Brewery,United States,North American Ale,American-Style Amber/Red Ale,Hoppy and bitter,Chicken
